Address	Original Data	Edited Data
0xE238E	44 98 E8 8F C3 24 E8 8F C2 24 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 D8 8F C2 24 03 00 45 A8 07 00 44 A8
0xE23CE	44 98 E8 8F C3 24 E8 8F C2 24 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 08 90 C2 24 03 00 45 A8 07 00 44 A8
0xE23FE	44 98 E8 8F C3 24 E8 8F C2 24 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 08 90 C2 24 03 00 45 A8 07 00 44 A8
0xE2512	44 98 38 90 23 25 38 90 22 25 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 F8 8F 22 25 03 00 45 A8 07 00 44 A8
0x15E0AC	ＨＰ回復魔法を使用します。 【消費ＭＰ ： %d】	Cast an HP recovery spell. [MP Cost: %d]
0x15E0DC	状態異常魔法（金化）を使用します。 【消費ＭＰ ： %d】	Cast the Goldification status condition. [MP Cost: %d]
0x15E114	状態異常魔法（銀化）を使用します。 【消費ＭＰ ： %d】	Cast the Silverization status condition. [MP Cost: %d]
0x15E14C	状態異常魔法（凍結）を使用します。 【消費ＭＰ ： %d】	Cast the Freeze status condition. [MP Cost: %d]
0x15E184	状態異常回復魔法を使用します。 【消費ＭＰ ： %d】	Cast a status recovery spell. [MP Cost: %d]
0x15E1B8	攻撃魔法を使用します。 【消費ＭＰ ： %d】	Cast an attack spell. [MP Cost: %d]
0x15E1FC	移動可能な範囲を表示しています。 目標地点を選んでください。	This shows where you can move to. Select a tile to move.
0x15E238	１回の行動で移動できる範囲を表示しています。 選択した地点に仮移動させることができます。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's move range from a single action. You can temporarily move the unit. For other range types, press the L Trigger.
0x15E2BC	射程範囲を表示しています。 攻撃・魔法の対象を選んでください。	Spell range is highlighted. Select a target for your action.
0x15E2FC	射程範囲を表示しています。 攻撃・魔法の目標を選んでください。	Attack range is highlighted. Select a target for your action.
0x15E33C	召喚可能な範囲を表示しています。 召喚する地点を選んでください。	Select a highlighted tile to summon the Natial.
0x15E37C	効果の及ぶ範囲を表示しています。 ○ボタンを押すと、魔法を実行します。	This is the area of effect. Press the Circle button to cast the spell.
0x15E3C4	現在の地点から移動せずに、 攻撃できる範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's attack range without moving. For other range types, press the L Trigger.
0x15E42C	現在の地点から移動せずに、 魔法を使える範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's spell range without moving. For other range types, press the L Trigger.
0x15E494	現在の地点から移動せずに、 魔法効果が届く範囲を表示しています。 地点を選択すると、その地点に効果を及ぼす 魔法の使用場所を表示します。	This is the unit's spell effect range without moving. Selecting a tile shows where they can target their spell to affect this tile.
0x15E51C	現在の地点から移動せずに、 魔法効果が届く範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's spell effect range without moving. For other range types, press the L Trigger.
